Year,Name,College,Position,Height (in),Weight (lbs),Wonderlic,40 Yard Dash,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle ,3Cone
1987,Terrence Flagler,Clemson,RB,71.6,199,,4.52,15,30.5,113,4.41,9.99
1987,Kenneth Flowers,Clemson,RB,71.9,211,,4.44,14,31,119,4.4,9.99
1987,Ron Francis,Baylor,CB,69.4,188,,4.49,8,34,115,4.06,9.99
1987,Chris Gambol,Iowa,OT,78.5,291,,5.2,21,27,110,4.69,9.99
1987,Rich Gannon,Delaware,QB,74.3,193,,4.58,7,32.5,110,4.11,9.99
1987,Mark Garalczyk,Western Michigan,DT,76.9,272,,5.01,14,28,106,4.56,9.99
1987,Everett Gay,Texas,WR,74.1,204,,4.6,2,37.5,123,4.38,9.99
1987,John Gesek,Cal State Sacramento,OT,76.5,274,,5.21,23,25.5,107,4.87,9.99
1987,Charles Glaze,South Carolina State,SS,71.8,197,,4.5,,29.5,115,4.5,9.99
1987,Kevin Gogan,Washington,OG,79,310,,5.46,,20.5,88,4.88,9.99
1987,Chris Goode,Alabama,CB,71.6,192,,4.6,2,33,116,4.25,9.99
1987,Alex Gordon,Cincinnati,OLB,76.8,239,,4.85,13,29,115,4.62,9.99
1987,Sonny Gordon,Ohio State,FS,70.5,195,,4.6,19,30.5,106,9.99,9.99
1987,Rick Graf,Wisconsin,OLB,77,240,,4.66,18,34,122,4.02,9.99
1987,Don Graham,Penn State,ILB,73.5,240,,4.85,18,29,105,4.21,9.99
1987,Marcus Greenwood,UCLA,FB,72.3,206,,4.65,13,32,112,4.12,9.99
1987,Wayne Haddix,Liberty (VA),CB,73.1,200,,4.67,8,37,122,4.35,9.99
1987,Delton Hall,Clemson,CB,72,202,,4.48,3,30.5,112,4.61,9.99
1987,Ron Hall,Hawaii,TE,76.1,239,,4.71,20,28.5,111,4.14,9.99
1987,Shawn Halloran,Boston College,QB,76.3,217,,5.14,10,23.5,94,4.53,9.99
1987,Tracy Ham,Georgia Southern,RB,70.3,196,,4.74,6,28,110,4.28,9.99
1987,James Hansen,Utah,OT,76.8,258,,5.09,21,24,108,4.43,9.99
1987,Jim Harbaugh,Michigan,QB,74.3,203,,9.99,,,,9.99,9.99
1987,Archie Harris,William & Mary (VA),OT,77.9,270,,5.08,31,,,9.99,9.99
1987,William Harris,Bishop (TX),TE,76.3,244,,4.71,10,28,107,4.43,9.99
1987,Lakei Heimuli,Brigham Young,RB,70.8,219,,4.81,20,29.5,101,4.75,9.99
1987,Thomas Henley,Stanford,WR,69.3,174,,4.53,,31,108,4.22,9.99
1987,Cliff Hicks,Oregon,CB,69.4,192,,4.5,8,31.5,116,4.34,9.99
1987,Alonzo Highsmith,Miami (FL),FB,72.9,236,,9.99,27,34,118,9.99,9.99
1987,Bruce Hill,Arizona State,WR,71.8,173,,4.49,,30.5,116,4.03,9.99
1987,Lonzell Hill,Washington,WR,70.6,190,,4.57,,31,113,4.11,9.99
1987,Merril Hoge,Idaho State,FB,72.6,210,,4.89,15,28.5,100,4.09,9.99
1987,John Holifield,West Virginia,RB,71.1,208,,4.55,14,30.5,115,4.15,9.99
1987,Johnny Holland,Texas A&M,OLB,73.8,226,,4.76,16,33.5,124,4.36,9.99
1987,Bruce Holmes,Minnesota,OLB,73.9,229,,4.92,15,28,105,4.5,9.99
1987,Darryl Holmes,Fort Valley State (GA),SS,74.4,188,,4.73,2,30.5,116,4.22,9.99
1987,Jon Horton,Arizona,WR,72.5,186,,4.64,2,30,116,9.99,9.99
1987,Todd Howard,Texas A&M,OLB,74.9,237,,4.8,17,28,108,4.5,9.99
1987,Doug Hudson,Nicholls State (LA),QB,73.8,197,,4.86,,25,105,4.52,9.99
1987,Mark Ingram,Michigan State,WR,70.6,188,,4.42,8,32,111,4.16,9.99
1987,Jeff Jaeger,Washington,K,71.4,190,,4.96,6,26,103,4.49,9.99
1987,Michael James,Washington State,WR,70.9,185,,4.5,16,35,117,4.37,9.99
1987,Ilia Jarostchuk,New Hampshire,ILB,75.5,231,,4.77,,31,116,4.43,9.99
1987,Curt Jarvis,Alabama,DT,73,266,,5.08,15,24.5,92,4.69,9.99
1987,Haywood Jeffires,North Carolina State,WR,74.1,191,,4.41,,,,9.99,9.99
1987,Alfred Jenkins,Arizona,RB,75.3,218,,4.74,,31,116,4.49,9.99
1987,Tim Jessie,Auburn,RB,71.3,190,,9.99,12,,,9.99,9.99
1987,Tim Johnson,Penn State,DT,74,253,,5.03,20,25,100,4.56,9.99
1987,Walter Johnson,Louisiana Tech,OLB,71.1,240,,4.54,22,29.5,116,4.36,9.99
1987,Walter Johnson,Pittsburgh,DT,73,257,,4.97,20,28.5,110,4.86,9.99
1987,Will Johnson,Louisiana-Monroe,DE,76,232,,9.99,17,33.5,115,9.99,9.99
1987,Dale Jones,Tennessee,ILB,73.1,223,,4.91,,25,101,4.55,9.99
1987,Leonard Jones,Texas Tech,FS,73,186,,4.64,9,31.5,113,4.33,9.99
1987,Nelson Jones,North Carolina State,FS,72.8,194,,4.64,6,,,9.99,9.99
1987,Rod Jones,Washington,TE,75.3,246,,4.85,14,24,108,4.47,9.99
1987,Tim Jordan,Wisconsin,OLB,75,226,,4.6,21,28.5,112,4.2,9.99
